sd	0	it's	0.8173256
sd	0	a	0.80551785
sd	0	very	0.7833116
sd	0	opportune	0.78590435
sd	0	moment	0.81032693
sd	0	for	0.78350407
sd	0	them	0.8103444
sd	0	to	0.8207797
sd	0	try	0.7650168
sd	1	they	0.79734397
sd	1	just	0.79288816
sd	1	slip	0.7838946
sd	1	in	0.78947467
sd	2	their	0.7797266
sd	2	concert	0.8093908
sd	2	schedule	0.78154975
sd	2	isn't	0.8145253
sd	2	as	0.7986253
sd	2	heavy	0.8121248
sd	3	i	0.79703104
sd	3	was	0.79882973
sd	3	a	0.79545075
sd	3	solid	0.79237473
sd	3	weight	0.75943595
sd	3	trainer	0.8010356
sd	4	it's	0.8173256
sd	4	gone	0.8084563
sd	5	now	0.79517794
sd	5	these	0.8032557
sd	5	are	0.7669689
sd	5	for	0.8728311
sd	5	two	0.77829635
sd	5	very	0.8209274
sd	5	different	0.80734247
sd	5	movies	0.79679793
sd	6	they're	0.7907253
sd	6	just	0.8201668
sd	6	getting	0.7978657
sd	6	put	0.7969822
sd	6	on	0.81791866
sd	6	probation	0.7486043
sd	6	or	0.7882175
sd	6	something	0.7932187
sd	6	because	0.77228755
sd	6	the	0.82462823
sd	6	prisons	0.75583285
sd	6	don't	0.8228707
sd	6	have	0.7609498
sd	6	enough	0.839794
sd	6	room	0.78315604
sd	7	i	0.79703104
sd	7	have	0.79546124
sd	7	boys	0.7843309
sd	7	eight	0.8182599
sd	7	and	0.7664231
sd	7	eleven	0.787556
sd	8	c	0.79007816
sd	8	bu	0.7803708
sd	8	i	0.7697786
sd	8	was	0.8364298
sd	8	surprised	0.80677146
sd	8	to	0.78664136
sd	8	learn	0.79107386
sd	8	that	0.77975327
sd	8	so	0.7595314
sd	8	few	0.80631185
sd	8	countries	0.77723485
sd	8	have	0.7509644
sd	8	capital	0.8420705
sd	8	punishment	0.7481808
sd	8	buxx	0.8033529
sd	9	number	0.78788376
sd	9	one	0.79924417
sd	9	because	0.7952518
sd	9	generally	0.8112367
sd	9	if	0.7661982
sd	9	they	0.7909326
sd	9	are	0.7926971
sd	9	involved	0.80384296
sd	9	in	0.8393396
sd	9	that	0.75584555
sd	9	type	0.8004292
sd	9	of	0.79719293
sd	9	thing	0.8428883
sd	9	they	0.77002615
sd	9	are	0.831032
sd	9	into	0.8325391
sd	9	theft	0.7580945
sd	10	it's	0.8173256
sd	10	full	0.78810894
sd	10	of	0.8146642
sd	10	carp	0.79193205
sd	10	i	0.81769216
sd	10	caught	0.80161697
sd	10	a	0.77373165
sd	10	carp	0.8001065
sd	10	on	0.773728
sd	10	a	0.7843948
sd	10	about	0.77393305
sd	10	what	0.7341503
sd	10	size	0.8036398
sd	10	is	0.7737563
sd	10	that	0.7956755
sd	10	i	0.7625828
sd	10	think	0.8252619
sd	10	it	0.76561123
sd	10	was	0.7367374
sd	10	a	0.85327315
sd	10	number	0.753767
sd	10	two	0.7480992
sd	10	treble	0.8107815
sd	10	hook	0.80456823
sd	11	those	0.8026025
sd	11	are	0.78520036
sd	11	nice	0.85071397
sd	12	they	0.79734397
sd	12	don't	0.79288524
sd	12	like	0.8022261
sd	12	to	0.8192174
sd	12	keep	0.79205906
sd	12	them	0.8049295
sd	13	i'm	0.79613155
sd	13	amazed	0.8010525
sd	13	at	0.7911196
sd	13	how	0.760731
sd	13	much	0.7981609
sd	13	stuff	0.82212615
sd	13	i've	0.7815403
sd	13	accumulated	0.80278295
sd	13	in	0.81298214
sd	13	my	0.7451487
sd	13	apartment	0.77973616
